Year,Id,Depth (m),Latitude (Decimal degrees),Longtitude (Decimal degrees),sea_level_rise (mm),Sattelite type
1992,9615,0,-2.548926,118.0148634,-44.91,TOPEX/Poseidon
1992,9867,0,-2.548926,118.0148634,-43.98,TOPEX/Poseidon
1993,125,0,-2.548926,118.0148634,-59.59,TOPEX/Poseidon
1993,4,0,-2.548926,118.0148634,-75.15,TOPEX/Poseidon
1993,665,0,-2.548926,118.0148634,-66.6,TOPEX/Poseidon
1993,971,0,-2.548926,118.0148634,-34.48,TOPEX/Poseidon
1993,121,0,-2.548926,118.0148634,-50.09,TOPEX/Poseidon
1993,1491,0,-2.548926,118.0148634,-53.09,TOPEX/Poseidon
1993,1762,0,-2.548926,118.0148634,-85.74,TOPEX/Poseidon
1993,2037,0,-2.548926,118.0148634,-83.24,TOPEX/Poseidon
1993,2306,0,-2.548926,118.0148634,-83.42,TOPEX/Poseidon
1993,2853,0,-2.548926,118.0148634,-95.55,TOPEX/Poseidon
1993,3124,0,-2.548926,118.0148634,-98.1,TOPEX/Poseidon
1993,3393,0,-2.548926,118.0148634,-110.82,TOPEX/Poseidon
1993,3666,0,-2.548926,118.0148634,-110.49,TOPEX/Poseidon
1993,3938,0,-2.548926,118.0148634,-105.92,TOPEX/Poseidon
1993,4208,0,-2.548926,118.0148634,-96.88,TOPEX/Poseidon
1993,4479,0,-2.548926,118.0148634,-81.28,TOPEX/Poseidon
1993,4753,0,-2.548926,118.0148634,-75.04,TOPEX/Poseidon
1993,5012,0,-2.548926,118.0148634,-70.24,TOPEX/Poseidon
1993,5294,0,-2.548926,118.0148634,-62.76,TOPEX/Poseidon
1993,5835,0,-2.548926,118.0148634,-66.43,TOPEX/Poseidon
1993,6113,0,-2.548926,118.0148634,-63.37,TOPEX/Poseidon
1993,6379,0,-2.548926,118.0148634,-73.28,TOPEX/Poseidon
1993,6653,0,-2.548926,118.0148634,-64.92,TOPEX/Poseidon
1993,6921,0,-2.548926,118.0148634,-62.83,TOPEX/Poseidon
1993,7193,0,-2.548926,118.0148634,-84.36,TOPEX/Poseidon
1993,7465,0,-2.548926,118.0148634,-89.22,TOPEX/Poseidon
1993,7734,0,-2.548926,118.0148634,-76.43,TOPEX/Poseidon
1993,801,0,-2.548926,118.0148634,-67.14,TOPEX/Poseidon
1993,8551,0,-2.548926,118.0148634,-76.87,TOPEX/Poseidon
1993,8825,0,-2.548926,118.0148634,-70.73,TOPEX/Poseidon
1993,9097,0,-2.548926,118.0148634,-76.66,TOPEX/Poseidon
1993,9372,0,-2.548926,118.0148634,-77.86,TOPEX/Poseidon
1993,9639,0,-2.548926,118.0148634,-37.54,TOPEX/Poseidon
1993,991,0,-2.548926,118.0148634,-20.26,TOPEX/Poseidon
1994,178,0,-2.548926,118.0148634,-47.39,TOPEX/Poseidon
1994,452,0,-2.548926,118.0148634,-57.37,TOPEX/Poseidon
1994,718,0,-2.548926,118.0148634,-38.99,TOPEX/Poseidon
1994,992,0,-2.548926,118.0148634,-67.21,TOPEX/Poseidon
1994,1268,0,-2.548926,118.0148634,-38.24,TOPEX/Poseidon
1994,1539,0,-2.548926,118.0148634,-6,TOPEX/Poseidon
1994,1805,0,-2.548926,118.0148634,-22.23,TOPEX/Poseidon
1994,2355,0,-2.548926,118.0148634,-22.74,TOPEX/Poseidon
1994,2623,0,-2.548926,118.0148634,-18.36,TOPEX/Poseidon
1994,2897,0,-2.548926,118.0148634,-41.75,TOPEX/Poseidon
1994,3169,0,-2.548926,118.0148634,-49.95,TOPEX/Poseidon
1994,3444,0,-2.548926,118.0148634,-49.14,TOPEX/Poseidon
1994,3707,0,-2.548926,118.0148634,-70.02,TOPEX/Poseidon
1994,3979,0,-2.548926,118.0148634,-81.22,TOPEX/Poseidon
1994,4253,0,-2.548926,118.0148634,-64.34,TOPEX/Poseidon
1994,4524,0,-2.548926,118.0148634,-56.35,TOPEX/Poseidon
1994,5063,0,-2.548926,118.0148634,-77.37,TOPEX/Poseidon
1994,5339,0,-2.548926,118.0148634,-63.12,TOPEX/Poseidon
1994,561,0,-2.548926,118.0148634,-90.97,TOPEX/Poseidon
1994,5881,0,-2.548926,118.0148634,-90.37,TOPEX/Poseidon
1994,6155,0,-2.548926,118.0148634,-107.22,TOPEX/Poseidon
1994,6424,0,-2.548926,118.0148634,-102.99,TOPEX/Poseidon
1994,6693,0,-2.548926,118.0148634,-100.72,TOPEX/Poseidon
1994,6969,0,-2.548926,118.0148634,-101.83,TOPEX/Poseidon
1994,7239,0,-2.548926,118.0148634,-95.58,TOPEX/Poseidon
1994,7509,0,-2.548926,118.0148634,-72.15,TOPEX/Poseidon
1994,7783,0,-2.548926,118.0148634,-77.67,TOPEX/Poseidon
1994,8055,0,-2.548926,118.0148634,-84.99,TOPEX/Poseidon
1994,8325,0,-2.548926,118.0148634,-80.71,TOPEX/Poseidon
1994,8871,0,-2.548926,118.0148634,-96.55,TOPEX/Poseidon
1994,914,0,-2.548926,118.0148634,-91.24,TOPEX/Poseidon
1994,9414,0,-2.548926,118.0148634,-65.57,TOPEX/Poseidon
1994,9684,0,-2.548926,118.0148634,-79.08,TOPEX/Poseidon
1994,9953,0,-2.548926,118.0148634,-100,TOPEX/Poseidon
1995,226,0,-2.548926,118.0148634,-87.86,TOPEX/Poseidon
1995,496,0,-2.548926,118.0148634,-66.87,TOPEX/Poseidon
1995,77,0,-2.548926,118.0148634,-44.63,TOPEX/Poseidon
1995,1036,0,-2.548926,118.0148634,-46.53,TOPEX/Poseidon
1995,1312,0,-2.548926,118.0148634,-67.61,TOPEX/Poseidon
1995,158,0,-2.548926,118.0148634,-39.13,TOPEX/Poseidon
1995,2125,0,-2.548926,118.0148634,-53.31,TOPEX/Poseidon
1995,2396,0,-2.548926,118.0148634,-45.48,TOPEX/Poseidon
1995,2667,0,-2.548926,118.0148634,-29.24,TOPEX/Poseidon
1995,2941,0,-2.548926,118.0148634,-35.51,TOPEX/Poseidon
1995,321,0,-2.548926,118.0148634,-40.4,TOPEX/Poseidon
1995,3757,0,-2.548926,118.0148634,-41.55,TOPEX/Poseidon
1995,4025,0,-2.548926,118.0148634,-46.99,TOPEX/Poseidon
1995,4299,0,-2.548926,118.0148634,-43.25,TOPEX/Poseidon
1995,4571,0,-2.548926,118.0148634,-46.94,TOPEX/Poseidon
1995,4842,0,-2.548926,118.0148634,-58.75,TOPEX/Poseidon
1995,5385,0,-2.548926,118.0148634,-14.9,TOPEX/Poseidon
1995,5658,0,-2.548926,118.0148634,-28.2,TOPEX/Poseidon
1995,5926,0,-2.548926,118.0148634,-48.8,TOPEX/Poseidon
1995,6198,0,-2.548926,118.0148634,-47.43,TOPEX/Poseidon
1995,647,0,-2.548926,118.0148634,-41.8,TOPEX/Poseidon
1995,6733,0,-2.548926,118.0148634,-7.98,TOPEX/Poseidon
1995,7012,0,-2.548926,118.0148634,-11.66,TOPEX/Poseidon
1995,7286,0,-2.548926,118.0148634,7.5,TOPEX/Poseidon
1995,7555,0,-2.548926,118.0148634,5.5,TOPEX/Poseidon
1995,783,0,-2.548926,118.0148634,-1.75,TOPEX/Poseidon
1995,8369,0,-2.548926,118.0148634,1.01,TOPEX/Poseidon
1995,8642,0,-2.548926,118.0148634,16.52,TOPEX/Poseidon
1995,8906,0,-2.548926,118.0148634,35.31,TOPEX/Poseidon
1995,9461,0,-2.548926,118.0148634,76.71,TOPEX/Poseidon
1995,9726,0,-2.548926,118.0148634,50.69,TOPEX/Poseidon
1995,9988,0,-2.548926,118.0148634,17.14,TOPEX/Poseidon
1996,266,0,-2.548926,118.0148634,12.3,TOPEX/Poseidon
1996,534,0,-2.548926,118.0148634,-0.49,TOPEX/Poseidon
1996,812,0,-2.548926,118.0148634,1.2,TOPEX/Poseidon
1996,1086,0,-2.548926,118.0148634,-2.53,TOPEX/Poseidon
1996,163,0,-2.548926,118.0148634,22.84,TOPEX/Poseidon
1996,1902,0,-2.548926,118.0148634,-9,TOPEX/Poseidon
1996,217,0,-2.548926,118.0148634,-26.14,TOPEX/Poseidon
1996,2442,0,-2.548926,118.0148634,-16.2,TOPEX/Poseidon
1996,2712,0,-2.548926,118.0148634,10.24,TOPEX/Poseidon
1996,2985,0,-2.548926,118.0148634,13.16,TOPEX/Poseidon
1996,3256,0,-2.548926,118.0148634,18.15,TOPEX/Poseidon
1996,3528,0,-2.548926,118.0148634,30.95,TOPEX/Poseidon
1996,3803,0,-2.548926,118.0148634,16.48,TOPEX/Poseidon
1996,4073,0,-2.548926,118.0148634,15.04,TOPEX/Poseidon
1996,4343,0,-2.548926,118.0148634,20.15,TOPEX/Poseidon
1996,4885,0,-2.548926,118.0148634,27.04,TOPEX/Poseidon
1996,5158,0,-2.548926,118.0148634,28.55,TOPEX/Poseidon
1996,5431,0,-2.548926,118.0148634,50.36,TOPEX/Poseidon
1996,5699,0,-2.548926,118.0148634,42.76,TOPEX/Poseidon
1996,5974,0,-2.548926,118.0148634,33.62,TOPEX/Poseidon
1996,6241,0,-2.548926,118.0148634,37.48,TOPEX/Poseidon
1996,6511,0,-2.548926,118.0148634,42.97,TOPEX/Poseidon
1996,6787,0,-2.548926,118.0148634,38.4,TOPEX/Poseidon
1996,7053,0,-2.548926,118.0148634,49.61,TOPEX/Poseidon
1996,7343,0,-2.548926,118.0148634,52.64,TOPEX/Poseidon
1996,7598,0,-2.548926,118.0148634,49.34,TOPEX/Poseidon
1996,8145,0,-2.548926,118.0148634,55.7,TOPEX/Poseidon
1996,8416,0,-2.548926,118.0148634,61.59,TOPEX/Poseidon
1996,8686,0,-2.548926,118.0148634,44.26,TOPEX/Poseidon
1996,8959,0,-2.548926,118.0148634,45.27,TOPEX/Poseidon
1996,9233,0,-2.548926,118.0148634,42.45,TOPEX/Poseidon
1996,9497,0,-2.548926,118.0148634,32.45,TOPEX/Poseidon
1996,9771,0,-2.548926,118.0148634,55.03,TOPEX/Poseidon
1997,43,0,-2.548926,118.0148634,56.96,TOPEX/Poseidon
1997,312,0,-2.548926,118.0148634,18.03,TOPEX/Poseidon
1997,585,0,-2.548926,118.0148634,-0.18,TOPEX/Poseidon
1997,861,0,-2.548926,118.0148634,4.54,TOPEX/Poseidon
1997,1401,0,-2.548926,118.0148634,53.65,TOPEX/Poseidon
1997,1675,0,-2.548926,118.0148634,60.49,TOPEX/Poseidon
1997,1944,0,-2.548926,118.0148634,-6.91,TOPEX/Poseidon
1997,222,0,-2.548926,118.0148634,-29.86,TOPEX/Poseidon
1997,2486,0,-2.548926,118.0148634,-26.61,TOPEX/Poseidon
1997,2759,0,-2.548926,118.0148634,-63.5,TOPEX/Poseidon
1997,3031,0,-2.548926,118.0148634,-76.18,TOPEX/Poseidon
1997,33,0,-2.548926,118.0148634,-64.63,TOPEX/Poseidon
1997,3574,0,-2.548926,118.0148634,-61.66,TOPEX/Poseidon
1997,3846,0,-2.548926,118.0148634,-56.49,TOPEX/Poseidon
1997,4116,0,-2.548926,118.0148634,-27.53,TOPEX/Poseidon
1997,4658,0,-2.548926,118.0148634,-76.78,TOPEX/Poseidon
1997,4919,0,-2.548926,118.0148634,-75.86,TOPEX/Poseidon
1997,5204,0,-2.548926,118.0148634,-67.11,TOPEX/Poseidon
1997,5474,0,-2.548926,118.0148634,-79.53,TOPEX/Poseidon
1997,5745,0,-2.548926,118.0148634,-88.05,TOPEX/Poseidon
1997,6287,0,-2.548926,118.0148634,-102.29,TOPEX/Poseidon
1997,6559,0,-2.548926,118.0148634,-98.32,TOPEX/Poseidon
1997,6828,0,-2.548926,118.0148634,-90.32,TOPEX/Poseidon
1997,7101,0,-2.548926,118.0148634,-122.29,TOPEX/Poseidon
1997,7373,0,-2.548926,118.0148634,-105.62,TOPEX/Poseidon
1997,7915,0,-2.548926,118.0148634,-135.63,TOPEX/Poseidon
1997,8188,0,-2.548926,118.0148634,-141.57,TOPEX/Poseidon
1997,8454,0,-2.548926,118.0148634,-147.28,TOPEX/Poseidon
1997,8732,0,-2.548926,118.0148634,-164.65,TOPEX/Poseidon
1997,9001,0,-2.548926,118.0148634,-168.39,TOPEX/Poseidon
1997,9275,0,-2.548926,118.0148634,-177.18,TOPEX/Poseidon
1997,9543,0,-2.548926,118.0148634,-172.96,TOPEX/Poseidon
1997,9819,0,-2.548926,118.0148634,-132.35,TOPEX/Poseidon
1998,85,0,-2.548926,118.0148634,-122.55,TOPEX/Poseidon
1998,356,0,-2.548926,118.0148634,-138.28,TOPEX/Poseidon
1998,902,0,-2.548926,118.0148634,-144.96,TOPEX/Poseidon
1998,1174,0,-2.548926,118.0148634,-134.55,TOPEX/Poseidon
1998,1447,0,-2.548926,118.0148634,-109.13,TOPEX/Poseidon
1998,1718,0,-2.548926,118.0148634,-81.04,TOPEX/Poseidon
1998,1992,0,-2.548926,118.0148634,-107.82,TOPEX/Poseidon
1998,2256,0,-2.548926,118.0148634,-73.97,TOPEX/Poseidon
1998,2531,0,-2.548926,118.0148634,-88.48,TOPEX/Poseidon
1998,2789,0,-2.548926,118.0148634,-72.73,TOPEX/Poseidon
1998,3079,0,-2.548926,118.0148634,-40.21,TOPEX/Poseidon
1998,3347,0,-2.548926,118.0148634,-34.87,TOPEX/Poseidon
1998,3612,0,-2.548926,118.0148634,-36.56,TOPEX/Poseidon
1998,4157,0,-2.548926,118.0148634,13.21,TOPEX/Poseidon
1998,4437,0,-2.548926,118.0148634,22.22,TOPEX/Poseidon
1998,4706,0,-2.548926,118.0148634,36.03,TOPEX/Poseidon
1998,4977,0,-2.548926,118.0148634,43.17,TOPEX/Poseidon
1998,5246,0,-2.548926,118.0148634,33.24,TOPEX/Poseidon
1998,5509,0,-2.548926,118.0148634,43.32,TOPEX/Poseidon
1998,6061,0,-2.548926,118.0148634,55.74,TOPEX/Poseidon
1998,633,0,-2.548926,118.0148634,53.37,TOPEX/Poseidon
1998,6604,0,-2.548926,118.0148634,57.15,TOPEX/Poseidon
1998,6876,0,-2.548926,118.0148634,50.53,TOPEX/Poseidon
1998,7145,0,-2.548926,118.0148634,45.67,TOPEX/Poseidon
1998,742,0,-2.548926,118.0148634,73.01,TOPEX/Poseidon
1998,7687,0,-2.548926,118.0148634,96.3,TOPEX/Poseidon
1998,8233,0,-2.548926,118.0148634,102.58,TOPEX/Poseidon
1998,8504,0,-2.548926,118.0148634,105.59,TOPEX/Poseidon
1998,8775,0,-2.548926,118.0148634,112.69,TOPEX/Poseidon
1998,9044,0,-2.548926,118.0148634,97.55,TOPEX/Poseidon
1998,9318,0,-2.548926,118.0148634,109.09,TOPEX/Poseidon
1998,9591,0,-2.548926,118.0148634,78.63,TOPEX/Poseidon
1998,9861,0,-2.548926,118.0148634,80.45,TOPEX/Poseidon
