Year,Id,Depth (m),Latitude (Decimal degrees),Longtitude (Decimal degrees),sea_level_rise (mm),Sattelite type
1992,9615,0,-2.548926,118.0148634,-3.1,TOPEX/Poseidon
1992,9867,0,-2.548926,118.0148634,3.8,TOPEX/Poseidon
1993,125,0,-2.548926,118.0148634,-7.1,TOPEX/Poseidon
1993,4,0,-2.548926,118.0148634,-19.1,TOPEX/Poseidon
1993,665,0,-2.548926,118.0148634,-8.4,TOPEX/Poseidon
1993,971,0,-2.548926,118.0148634,24.8,TOPEX/Poseidon
1993,121,0,-2.548926,118.0148634,9.1,TOPEX/Poseidon
1993,1491,0,-2.548926,118.0148634,5,TOPEX/Poseidon
1993,1762,0,-2.548926,118.0148634,-29.7,TOPEX/Poseidon
1993,2037,0,-2.548926,118.0148634,-30.3,TOPEX/Poseidon
1993,2306,0,-2.548926,118.0148634,-34.6,TOPEX/Poseidon
1993,2853,0,-2.548926,118.0148634,-58.8,TOPEX/Poseidon
1993,3124,0,-2.548926,118.0148634,-69.3,TOPEX/Poseidon
1993,3393,0,-2.548926,118.0148634,-91.2,TOPEX/Poseidon
1993,3666,0,-2.548926,118.0148634,-101.4,TOPEX/Poseidon
1993,3938,0,-2.548926,118.0148634,-108.3,TOPEX/Poseidon
1993,4208,0,-2.548926,118.0148634,-111.3,TOPEX/Poseidon
1993,4479,0,-2.548926,118.0148634,-108,TOPEX/Poseidon
1993,4753,0,-2.548926,118.0148634,-113.9,TOPEX/Poseidon
1993,5012,0,-2.548926,118.0148634,-119.8,TOPEX/Poseidon
1993,5294,0,-2.548926,118.0148634,-122.5,TOPEX/Poseidon
1993,5835,0,-2.548926,118.0148634,-139.4,TOPEX/Poseidon
1993,6113,0,-2.548926,118.0148634,-139.1,TOPEX/Poseidon
1993,6379,0,-2.548926,118.0148634,-148.8,TOPEX/Poseidon
1993,6653,0,-2.548926,118.0148634,-137.3,TOPEX/Poseidon
1993,6921,0,-2.548926,118.0148634,-129.4,TOPEX/Poseidon
1993,7193,0,-2.548926,118.0148634,-142.6,TOPEX/Poseidon
1993,7465,0,-2.548926,118.0148634,-137.1,TOPEX/Poseidon
1993,7734,0,-2.548926,118.0148634,-112.6,TOPEX/Poseidon
1993,801,0,-2.548926,118.0148634,-90.4,TOPEX/Poseidon
